nbd_unexpected_write_count,nbd_mean_response_time_ms,nbd_std_response_time_ms,nbd_distinct_sources_count,nbd_fc3_read_count,nbd_fc6_write_count,nbd_fc16_write_count,nbd_error_count,nbd_traffic_volume,nbd_modbus_anomaly_rate,pcd_max_lnr,pcd_is_target_rtu_max_lnr,pcd_chi2_statistic,pcd_chi2_ratio,pcd_chi2_failed,pcd_target_rtu_v_residual,pcd_target_rtu_p_residual,pcd_target_rtu_is_flagged,pcd_global_bad_data_flag,pcd_voltage_pu_reported,pcd_voltage_dev_nominal,pcd_p_mw_reported,pcd_status_code,pcd_physics_network_disagreement_index,pcd_temporal_dv_dt_3tick,pcd_temporal_dp_dt_3tick,pcd_temporal_dq_dt_3tick,pcd_cross_rtu_voltage_divergence,tick,rtu_id,top_level_label,subtype_label
0.0,250.762,181.27,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.1579,0.2853,0.0,0.0,0.0,0.0,0.0,0.9798,0.0202,0.419,1.0,0.5,0.00215,0.0025,0.001,0.001,4,2,Natural Fault,line_trip
0.0,250.382,181.26,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.1579,0.2853,0.0,0.0,0.0,0.0,0.0,0.9781,0.0219,0.428,1.0,1.0,0.00035,0.005,0.001,0.0036,4,3,Natural Fault,line_trip
0.0,249.992,181.293,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.1579,0.2853,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.008,3.0,0.6,0.0,0.003,0.001,0.9817,4,4,Natural Fault,line_trip
0.0,249.63,181.299,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.1579,0.2853,0.0,0.0,0.0,0.0,0.0,0.9759,0.0241,0.194,1.0,0.3,0.00035,0.0015,0.002,0.0039,4,5,Natural Fault,line_trip
0.0,174.447,77.855,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.2781,0.0251,0.0,0.0,0.0,0.0,0.0,0.9809,0.0191,-0.865,1.0,0.9,0.00075,0.0045,0.0065,0.32987,5,1,Natural Fault,line_trip
0.0,173.255,77.503,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.2781,0.0251,0.0,0.0,0.0,0.0,0.0,0.9757,0.0243,0.431,1.0,0.5,0.00155,0.0025,0.0,0.0022,5,2,Natural Fault,line_trip
0.0,172.638,77.608,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.2781,0.0251,0.0,0.0,0.0,0.0,0.0,0.9774,0.0226,0.434,1.0,1.2,0.0008,0.006,0.004,0.0035,5,3,Natural Fault,line_trip
0.0,172.177,77.472,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.2781,0.0251,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001,3.0,0.4,0.0,0.002,0.0005,0.9809,5,4,Natural Fault,line_trip
0.0,171.767,77.245,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.2781,0.0251,0.0,0.0,0.0,0.0,0.0,0.9749,0.0251,0.182,1.0,0.7,0.0012,0.0035,0.0015,0.0008,5,5,Natural Fault,line_trip
0.0,174.863,77.508,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.6738,0.3319,0.0,0.0,0.0,0.0,0.0,0.9809,0.0191,-0.857,1.0,0.5,0.0004,0.0025,0.003,0.32853,6,1,Natural Fault,line_trip
0.0,173.582,77.233,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.6738,0.3319,0.0,0.0,0.0,0.0,0.0,0.9771,0.0229,0.434,1.0,1.5,0.00135,0.0075,0.003,0.0006,6,2,Natural Fault,line_trip
0.0,172.908,77.385,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.6738,0.3319,0.0,0.0,0.0,0.0,0.0,0.98,0.02,0.436,1.0,0.8,0.00095,0.004,0.0025,0.0009,6,3,Natural Fault,line_trip
0.0,172.432,77.262,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.6738,0.3319,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.004,3.0,0.4,0.0,0.002,0.0035,0.9809,6,4,Natural Fault,line_trip
0.0,171.947,77.097,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.6738,0.3319,0.0,0.0,0.0,0.0,0.0,0.9721,0.0279,0.193,1.0,0.1,0.0019,0.0005,0.006,0.005,6,5,Natural Fault,line_trip
0.0,144.502,45.538,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.9561,0.0864,0.0,0.0,0.0,0.0,0.0,0.9812,0.0188,-0.866,1.0,0.1,0.00015,0.0005,0.0025,0.3306,7,1,Natural Fault,line_trip
0.0,143.378,45.176,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.9561,0.0864,0.0,0.0,0.0,0.0,0.0,0.9767,0.0233,0.437,1.0,0.6,0.0005,0.003,0.0045,0.00165,7,2,Natural Fault,line_trip
0.0,142.743,45.366,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.9561,0.0864,0.0,0.0,0.0,0.0,0.0,0.9751,0.0249,0.43,1.0,0.4,0.00115,0.002,0.002,0.0061,7,3,Natural Fault,line_trip
0.0,142.365,45.334,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.9561,0.0864,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001,3.0,0.0,0.0,0.0,0.0,0.9812,7,4,Natural Fault,line_trip
0.0,141.993,45.296,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.9561,0.0864,0.0,0.0,0.0,0.0,0.0,0.9755,0.0245,0.189,1.0,0.7,0.0003,0.0035,0.001,0.0012,7,5,Natural Fault,line_trip
0.0,164.87,54.177,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.6666,0.1505,0.0,0.0,0.0,0.0,0.0,0.9813,0.0187,-0.876,1.0,1.9,0.0002,0.0095,0.002,0.33037,8,1,Natural Fault,line_trip
0.0,163.972,54.317,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.6666,0.1505,0.0,0.0,0.0,0.0,0.0,0.9772,0.0228,0.432,1.0,0.2,5e-05,0.001,0.005,0.00125,8,2,Natural Fault,line_trip
0.0,163.342,54.591,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.6666,0.1505,0.0,0.0,0.0,0.0,0.0,0.9756,0.0244,0.44,1.0,0.4,0.0022,0.002,0.002,0.0057,8,3,Natural Fault,line_trip
0.0,162.992,54.648,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.6666,0.1505,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.003,3.0,0.1,0.0,0.0005,0.001,0.9813,8,4,Natural Fault,line_trip
0.0,162.64,54.678,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.6666,0.1505,0.0,0.0,0.0,0.0,0.0,0.9756,0.0244,0.195,1.0,0.2,0.00175,0.001,0.0005,0.0016,8,5,Natural Fault,line_trip
0.0,158.278,56.363,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.6885,0.4235,0.0,0.0,0.0,0.0,0.0,0.9801,0.0199,-0.879,1.0,1.3,0.00055,0.0065,0.0,0.32923,9,1,Natural Fault,line_trip
0.0,157.35,56.573,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.6885,0.4235,0.0,0.0,0.0,0.0,0.0,0.9746,0.0254,0.438,1.0,0.1,0.00105,0.0005,0.0005,0.0055,9,2,Natural Fault,line_trip
0.0,156.438,57.0,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.6885,0.4235,0.0,0.0,0.0,0.0,0.0,0.978,0.022,0.441,1.0,1.1,0.00145,0.0055,0.0,0.0021,9,3,Natural Fault,line_trip
0.0,156.09,57.077,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.6885,0.4235,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.006,3.0,0.5,0.0,0.0025,0.001,0.9801,9,4,Natural Fault,line_trip
0.0,155.727,57.117,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.6885,0.4235,0.0,0.0,0.0,0.0,0.0,0.9801,0.0199,0.195,1.0,0.6,0.0023,0.003,0.0015,0.0055,9,5,Natural Fault,line_trip
0.0,168.575,51.898,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.4103,0.3984,0.0,0.0,0.0,0.0,0.0,0.9773,0.0227,-1.038,1.0,2.1409,0.002,0.081,0.056,0.00223,10,1,Normal,normal
0.0,167.665,52.091,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.4103,0.3984,0.0,0.0,0.0,0.0,0.0,0.9733,0.0267,0.443,1.0,1.1,0.00195,0.0055,0.002,0.0047,10,2,Normal,normal
0.0,166.983,52.409,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.4103,0.3984,0.0,0.0,0.0,0.0,0.0,0.9759,0.0241,0.434,1.0,0.6,0.00015,0.003,0.0035,0.0014,10,3,Normal,normal
0.0,166.553,52.601,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.4103,0.3984,0.0,0.0,0.0,0.0,0.0,0.976,0.024,0.16,1.0,2.1789,0.488,0.0815,0.047,0.0013,10,4,Normal,normal
0.0,166.155,52.7,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.4103,0.3984,0.0,0.0,0.0,0.0,0.0,0.9787,0.0213,0.195,1.0,0.0,0.00155,0.0,0.001,0.0054,10,5,Normal,normal
0.0,164.948,54.904,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.5507,0.2304,0.0,0.0,0.0,0.0,0.0,0.9788,0.0212,-1.039,1.0,2.1279,0.00065,0.08,0.0495,0.0062,11,1,Normal,normal
0.0,164.002,55.098,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.5507,0.2304,0.0,0.0,0.0,0.0,0.0,0.974,0.026,0.439,1.0,0.1,0.0003,0.0005,0.0,0.00035,11,2,Normal,normal
0.0,163.305,55.392,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.5507,0.2304,0.0,0.0,0.0,0.0,0.0,0.9727,0.0273,0.442,1.0,0.1,0.00265,0.0005,0.0055,0.0061,11,3,Normal,normal
0.0,162.87,55.561,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.5507,0.2304,0.0,0.0,0.0,0.0,0.0,0.9711,0.0289,0.161,1.0,2.1282,0.48555,0.0775,0.0455,0.0077,11,4,Normal,normal
0.0,162.475,55.64,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.5507,0.2304,0.0,0.0,0.0,0.0,0.0,0.9699,0.0301,0.198,1.0,0.3,0.0051,0.0015,0.002,0.0041,11,5,Normal,normal
0.0,142.17,37.793,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.8444,0.2569,0.0,0.0,0.0,0.0,0.0,0.9777,0.0223,-1.047,1.0,0.9,0.0002,0.0045,0.004,0.0027,12,1,Normal,normal
0.0,141.247,37.896,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.8444,0.2569,0.0,0.0,0.0,0.0,0.0,0.9715,0.0285,0.444,1.0,0.1,0.0009,0.0005,0.002,0.00115,12,2,Normal,normal
0.0,140.54,38.067,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.8444,0.2569,0.0,0.0,0.0,0.0,0.0,0.977,0.023,0.447,1.0,1.3,0.00055,0.0065,0.001,0.0007,12,3,Normal,normal
0.0,140.103,38.174,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.8444,0.2569,0.0,0.0,0.0,0.0,0.0,0.9765,0.0235,0.169,1.0,0.9,0.00025,0.0045,0.0015,0.0012,12,4,Normal,normal
0.0,139.662,38.252,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.8444,0.2569,0.0,0.0,0.0,0.0,0.0,0.9676,0.0324,0.194,1.0,0.1,0.00555,0.0005,0.001,0.0039,12,5,Normal,normal
0.0,171.588,66.802,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.3426,0.2116,0.0,0.0,0.0,0.0,0.0,0.9751,0.0249,-1.055,1.0,1.6,0.00185,0.008,0.002,0.002,13,1,Normal,normal
0.0,170.778,66.828,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.3426,0.2116,0.0,0.0,0.0,0.0,0.0,0.9702,0.0298,0.448,1.0,0.9,0.0019,0.0045,0.004,0.0027,13,2,Normal,normal
0.0,170.388,66.867,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.3426,0.2116,0.0,0.0,0.0,0.0,0.0,0.9713,0.0287,0.446,1.0,0.4,0.0007,0.002,0.005,0.0038,13,3,Normal,normal
0.0,169.978,66.963,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.3426,0.2116,0.0,0.0,0.0,0.0,0.0,0.9778,0.0222,0.155,1.0,0.6,0.00335,0.003,0.003,0.0027,13,4,Normal,normal
0.0,169.572,67.071,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.3426,0.2116,0.0,0.0,0.0,0.0,0.0,0.9707,0.0293,0.202,1.0,0.4,0.0004,0.002,0.002,0.0005,13,5,Normal,normal
0.0,161.948,70.306,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.1368,0.1027,0.0,0.0,0.0,0.0,0.0,0.9787,0.0213,-1.063,1.0,1.6,0.0005,0.008,0.0035,0.00477,14,1,Normal,normal
0.0,161.22,70.3,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.1368,0.1027,0.0,0.0,0.0,0.0,0.0,0.9728,0.0272,0.452,1.0,0.8,0.00065,0.004,0.002,0.0038,14,2,Normal,normal
0.0,160.828,70.333,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.1368,0.1027,0.0,0.0,0.0,0.0,0.0,0.9733,0.0267,0.449,1.0,0.2,0.00185,0.001,0.0045,0.0054,14,3,Normal,normal
0.0,160.413,70.403,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.1368,0.1027,0.0,0.0,0.0,0.0,0.0,0.9757,0.0243,0.168,1.0,0.1,0.0004,0.0005,0.004,0.003,14,4,Normal,normal
0.0,160.015,70.48,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.1368,0.1027,0.0,0.0,0.0,0.0,0.0,0.9745,0.0255,0.19,1.0,0.4,0.00345,0.002,0.002,0.0017,14,5,Normal,normal
0.0,173.83,65.73,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.4471,0.0404,0.0,0.0,0.0,0.0,0.0,0.9775,0.0225,-1.078,1.0,2.3,0.0012,0.0115,0.009,0.00367,15,1,Normal,normal
0.0,172.64,65.665,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.4471,0.0404,0.0,0.0,0.0,0.0,0.0,0.9716,0.0284,0.463,1.0,1.5,0.0007,0.0075,0.0085,0.00335,15,2,Normal,normal
0.0,172.22,65.679,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.4471,0.0404,0.0,0.0,0.0,0.0,0.0,0.9738,0.0262,0.457,1.0,1.1,0.00125,0.0055,0.005,0.0037,15,3,Normal,normal
0.0,171.777,65.663,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.4471,0.0404,0.0,0.0,0.0,0.0,0.0,0.9761,0.0239,0.168,1.0,1.3,0.00085,0.0065,0.0035,0.0014,15,4,Normal,normal
0.0,171.39,65.703,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.4471,0.0404,0.0,0.0,0.0,0.0,0.0,0.9724,0.0276,0.201,1.0,0.1,0.00085,0.0005,0.0055,0.0008,15,5,Normal,normal
0.0,173.927,65.651,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.6158,0.146,0.0,0.0,0.0,0.0,0.0,0.9751,0.0249,-1.089,1.0,2.4399,0.0018,0.013,0.0065,0.00047,16,1,Normal,normal
0.0,172.805,65.532,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.6158,0.146,0.0,0.0,0.0,0.0,0.0,0.9713,0.0287,0.465,1.0,1.3,0.00075,0.0065,0.003,0.0016,16,2,Normal,normal
0.0,172.423,65.516,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.6158,0.146,0.0,0.0,0.0,0.0,0.0,0.9766,0.0234,0.458,1.0,0.9,0.00165,0.0045,0.001,0.0015,16,3,Normal,normal
0.0,171.983,65.498,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.6158,0.146,0.0,0.0,0.0,0.0,0.0,0.976,0.024,0.169,1.0,0.1,0.00015,0.0005,0.005,0.0009,16,4,Normal,normal
0.0,171.633,65.509,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.6158,0.146,0.0,0.0,0.0,0.0,0.0,0.9707,0.0293,0.203,1.0,1.3,0.0019,0.0065,0.0,0.0006,16,5,Normal,normal
0.0,133.9,25.306,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0847,0.098,0.0,0.0,0.0,0.0,0.0,0.9724,0.0276,-1.118,1.0,2.3708,0.00255,0.02,0.0115,0.0006,17,1,Normal,normal
0.0,132.81,24.443,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0847,0.098,0.0,0.0,0.0,0.0,0.0,0.971,0.029,0.479,1.0,1.6,0.0003,0.008,0.0075,0.00125,17,2,Normal,normal
0.0,132.368,24.362,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0847,0.098,0.0,0.0,0.0,0.0,0.0,0.9714,0.0286,0.472,1.0,1.5,0.0012,0.0075,0.0035,0.001,17,3,Normal,normal
0.0,131.89,24.168,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0847,0.098,0.0,0.0,0.0,0.0,0.0,0.973,0.027,0.169,1.0,0.1,0.00155,0.0005,0.0005,0.0006,17,4,Normal,normal
0.0,131.552,24.113,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0847,0.098,0.0,0.0,0.0,0.0,0.0,0.9671,0.0329,0.21,1.0,0.9,0.00265,0.0045,0.004,0.0039,17,5,Normal,normal
0.0,165.015,64.623,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.803,0.1629,0.0,0.0,0.0,0.0,0.0,0.9746,0.0254,-1.128,1.0,2.358,0.00025,0.0195,0.011,0.00313,18,1,Normal,normal
0.0,163.943,64.608,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.803,0.1629,0.0,0.0,0.0,0.0,0.0,0.9692,0.0308,0.48,1.0,1.5,0.00105,0.0075,0.007,0.0044,18,2,Normal,normal
0.0,163.477,64.565,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.803,0.1629,0.0,0.0,0.0,0.0,0.0,0.9716,0.0284,0.475,1.0,1.7,0.0025,0.0085,0.008,0.003,18,3,Normal,normal
0.0,162.948,64.492,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.803,0.1629,0.0,0.0,0.0,0.0,0.0,0.9736,0.0264,0.178,1.0,0.9,0.0012,0.0045,0.0025,0.001,18,4,Normal,normal
0.0,162.575,64.46,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.803,0.1629,0.0,0.0,0.0,0.0,0.0,0.9726,0.0274,0.207,1.0,0.4,0.00095,0.002,0.006,0.0034,18,5,Normal,normal
0.0,154.017,67.27,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.7714,0.0697,0.0,0.0,0.0,0.0,0.0,0.9714,0.0286,-1.156,1.0,2.3627,0.0005,0.019,0.0125,0.00173,19,1,Normal,normal
0.0,153.46,67.357,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.7714,0.0697,0.0,0.0,0.0,0.0,0.0,0.9681,0.0319,0.487,1.0,0.8,0.00145,0.004,0.0075,0.0008,19,2,Normal,normal
0.0,153.067,67.303,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.7714,0.0697,0.0,0.0,0.0,0.0,0.0,0.9703,0.0297,0.498,1.0,2.2386,0.00055,0.013,0.005,0.0011,19,3,Normal,normal
0.0,152.705,67.229,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.7714,0.0697,0.0,0.0,0.0,0.0,0.0,0.9706,0.0294,0.177,1.0,0.8,0.0012,0.004,0.002,0.0008,19,4,Normal,normal
0.0,152.407,67.186,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.7714,0.0697,0.0,0.0,0.0,0.0,0.0,0.9664,0.0336,0.219,1.0,0.9,0.00035,0.0045,0.0025,0.0017,19,5,Normal,normal
0.0,195.553,76.201,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.183,0.1069,0.0,0.0,0.0,0.0,0.0,0.9733,0.0267,-1.181,1.0,2.4482,0.00065,0.0265,0.0165,0.001,20,1,Normal,normal
0.0,194.903,76.229,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.183,0.1069,0.0,0.0,0.0,0.0,0.0,0.97,0.03,0.497,1.0,1.7,0.0004,0.0085,0.004,0.00015,20,2,Normal,normal
0.0,194.498,76.227,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.183,0.1069,0.0,0.0,0.0,0.0,0.0,0.9725,0.0275,0.502,1.0,2.2693,0.00045,0.0135,0.005,0.0008,20,3,Normal,normal
0.0,194.113,76.227,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.183,0.1069,0.0,0.0,0.0,0.0,0.0,0.9744,0.0256,0.18,1.0,0.2,0.0004,0.001,0.003,0.0011,20,4,Normal,normal
0.0,193.857,76.196,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.183,0.1069,0.0,0.0,0.0,0.0,0.0,0.9664,0.0336,0.219,1.0,1.2,0.0031,0.006,0.002,0.0036,20,5,Cyber Intrusion,replay
